,Python (out of 3),Machine Learning (out of 3),Natural Language Processing (NLP) (out of 3),Deep Learning (out of 3),skills,name
276,3,0,0,3,"C++ Programming, CCNA, CSS, Deep Learning, Flutter, HTML, JSON, Java, Jira, MS-Excel, Manual Testing, MySQL, PHP, Postman, Python, R Programming, SQL, Selenium, Software Testing, DevOps, JavaScript, Jenkins, REST API",302
277,0,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), C Programming, C++ Programming, Data Structures, Spanish Proficiency(Spoken), Spanish Proficiency(Written)",303
278,2,2,0,0,"English Proficiency (Written), MS-Excel, Machine Learning, Python, SQL, Tableau",305
279,2,2,1,0,"Canva, Data Science, Data Structures, English Proficiency (Written), Flask, Java, MS-PowerPoint, Machine Learning, Python, Statistics, MS-Excel, Natural Language Processing (NLP), SQL",306
280,1,1,0,1,"English Proficiency (Spoken), Mathematics, Statistics, Deep Learning, Machine Learning, Neural Networks, OpenCV, Python, SQL",307
281,2,2,1,1,"C++ Programming, Creative Writing, Data Analytics, Data Science, Data Structures, English Proficiency (Written), Java, Machine Learning, MySQL, Python, ReactJS, CSS, Deep Learning, Django, Embedded Systems, HTML, JavaScript, MongoDB, Natural Language Processing (NLP), Node.js, REST API, Raspberry Pi, SQL",308
282,2,3,0,0,"Data Analytics, Data Science, MS-Excel, Machine Learning, SQL, Tableau, Python",309
283,2,0,0,0,"C Programming, C++ Programming, CSS, HTML, Java, JavaScript, Linux, MS-Excel, Python",310
284,0,0,0,0,"MS-PowerPoint, MS-Word, C Programming, C++ Programming, Java",311
285,3,0,0,0,"Canva, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), LaTeX, MS-Word, Mathematics, Python, R Programming, Statistical Modeling, Statistics, MS-Excel, MS-PowerPoint, SQL",312
286,0,2,0,2,"Data Analytics, Deep Learning, Machine Learning, Statistics",313
287,2,1,1,1,"HTML, CSS, JavaScript, Node.js, Python, Adobe Photoshop, Deep Learning, Figma, Git Bash, Java, Machine Learning, MongoDB, MySQL, Natural Language Processing (NLP), Neural Networks",314
288,2,0,0,0,"Algorithms, C++ Programming, Data Structures, CSS, Express.js, HTML, JavaScript, MySQL, Node.js, Python, ReactJS, SQL, MongoDB",316
289,2,1,0,1,"English Proficiency (Written), MS-Word, C Programming, CSS, Data Analytics, Data Science, HTML, MS-Excel, MS-Office, MySQL, Python, Deep Learning, JavaScript, Machine Learning",317
290,3,2,2,2,"Python, Deep Learning, Machine Learning, Mathematics, Natural Language Processing (NLP), Computer Vision, Data Analytics, Data Science, Tableau",318
291,2,2,1,1,"Data Science, Machine Learning, Mathematics, Python, SQL, Computer Vision, Data Analytics, Deep Learning, FastAPI, Git, GitHub, Java, MS-Excel, MS-Office, Natural Language Processing (NLP), Power BI, R Programming, Statistics, Tableau",319
292,2,0,0,0,"Android, C Programming, Computer Vision, Data Structures, Image Processing, Java, MS-Excel, MS-Office, MS-PowerPoint, Python",320
293,3,2,0,2,"C Programming, English Proficiency (Spoken), MS-Excel, MySQL, Python, Deep Learning, Machine Learning, Power BI, Tableau",321
294,2,0,0,0,"Python, SQL, Data Science",322
295,3,2,2,0,"Python, Artificial Intelligence, Computer Vision, Data Science, Machine Learning, Natural Language Processing (NLP)",324
296,2,2,0,1,"Amazon Web Services (AWS), Data Analytics, Hadoop, MS-Excel, Machine Learning, MySQL, Python, Tableau, Deep Learning",325
297,3,2,0,3,"Deep Learning, Python, Algorithms, CSS, Computer Vision, Data Analytics, Data Science, Data Structures, Django, GitHub, HTML, Machine Learning, MongoDB, MySQL, OpenCV, PostgreSQL, SQL, JavaScript",326
298,2,1,2,2,"C++ Programming, Ethical Hacking, C Programming, Data Structures, Deep Learning, DevOps, Linux, Natural Language Processing (NLP), Python, SQL, Machine Learning",328
299,3,2,0,2,"Java, MS-Excel, Python, CSS, Computer Vision, Data Analytics, Database Management System (DBMS), Deep Learning, HTML, Machine Learning, MySQL, SQL, Software Testing, Statistics, Tableau",329
300,2,1,0,0,"C Programming, HTML, Hindi Proficiency (Spoken), Hindi Proficiency (Written), C++ Programming, CSS, Creative Writing, English Proficiency (Written), Figma, Java, JavaScript, Python, English Proficiency (Spoken), Machine Learning",330
301,3,0,0,2,"MATLAB, Python, Deep Learning, Image Processing, Neural Networks",331
302,1,1,0,0,"HTML, MS-Office, CSS, English Proficiency (Spoken), GitHub, Java, LaTeX, MS-Excel, MS-PowerPoint, MS-Word, Photography, SQL, Adobe Illustrator, Adobe Photoshop, Bootstrap, C Programming, Content Writing, Git, JavaScript, MATLAB, Machine Learning, Music, Python, VS Code",332
303,2,2,0,2,"Algorithms, C++ Programming, Data Structures, Deep Learning, Machine Learning, Python, CSS, HTML",333
304,2,2,1,0,"Java, Machine Learning, Power BI, Python, Data Science, Flask, Natural Language Processing (NLP), SQL",334
305,2,2,0,0,"MS-Word, Marathi Proficiency(Spoken), Music, C Programming, C++ Programming, English Proficiency (Spoken), English Proficiency (Written), Guitar, HTML, MS-Excel, MS-PowerPoint, Machine Learning, Python, CSS, JavaScript, PHP, R Programming, Visual Basic (VB)",335
306,1,1,0,0,"Hindi Proficiency (Spoken), English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, MS-Word, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Machine Learning, Python",336
307,2,2,2,0,"Amazon Web Services (AWS), Data Analytics, Data Science, Hadoop, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Statistical Modeling, Tableau",337
308,2,0,0,0,"C Programming, CSS, Database Management System (DBMS), Flask, HTML, JavaScript, MySQL, Python, ReactJS, SQL, GitHub",340
309,2,1,0,0,"Artificial Intelligence, Python, C++ Programming, Data Structures, Machine Learning",341
310,2,2,0,2,"Content Writing, Data Structures, Internet of Things (IoT), Interpersonal Skills, MS-Excel, MS-PowerPoint, Project Management, Software Testing, Time Management, Video Editing, Arduino, CSS, Cloud Computing, Computer Networks, Database Management System (DBMS), Deep Learning, Embedded Systems, HTML, JavaScript, MS-Office, Machine Learning, Node.js, Python, Raspberry Pi, React Native, SQL, BIG DATA ANALYTICS, Computer Vision, Neural Networks, Search Engine Optimization (SEO)",342
311,2,0,0,0,"Algorithms, C++ Programming, Data Structures, Figma, Firebase, Flutter, Linux, Node.js, Project Management, Python, Software Testing",343
312,2,0,0,0,"C++ Programming, Java, CSS, Data Structures, Database Management System (DBMS), HTML, JavaScript, Linux, MySQL, Python, SQL",344
313,2,2,0,0,"Java, Machine Learning, Python, SQL, HTML",345
314,2,2,0,0,"MS-Excel, SQL, Data Analytics, Machine Learning, MySQL, Python, Statistics, Tableau",346
315,2,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), CSS, HTML, Python",347
316,0,1,2,0,"Artificial Intelligence, Bootstrap, C++ Programming, CSS, Cloud Computing, Data Structures, Django, English Proficiency (Spoken), English Proficiency (Written), Flask, Git, Git Bash, GitHub, HTML, Heroku, Java, JavaScript, MS-Office, MongoDB, MySQL, Natural Language Processing (NLP), Neural Networks, NoSQL, OpenCV, PHP, REST API, XML, jQuery, Machine Learning",348
317,3,2,0,2,"C++ Programming, Data Structures, Java, MS-Excel, MySQL, Python, Android, Artificial Intelligence, Data Analytics, Data Science, Deep Learning, Embedded Systems, Kotlin, Machine Learning",349
318,0,0,0,0,"SQL, Java",350
319,2,1,0,0,"Python, Angular 7.0, Data Science, Machine Learning",352
320,3,3,0,3,"Artificial Intelligence, BIG DATA ANALYTICS, C Programming, C++ Programming, Computer Vision, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning, Machine Learning, Mathematics, Python, Statistical Modeling, Google Cloud Computing",353
321,2,0,0,0,"Bootstrap, C Programming, C++ Programming, CSS, FL Studio (formerly known as FruityLoops), HTML, Photography, Video Editing, Android, Java, JavaScript, Python",354
322,3,3,2,2,"Business Analysis, Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Power BI, Python, SQL, Artificial Intelligence, Computer Vision, Deep Learning, Natural Language Processing (NLP), Neural Networks",355
323,0,1,0,0,"Time Management, Business Research, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, MS-PowerPoint, Manual Testing, CAD, Computer Networking, Machine Learning",356
324,1,1,0,0,"CSS, Data Analytics, Data Science, HTML, MS-Office, Artificial Intelligence, Machine Learning, Python",357
325,2,2,0,0,"C Programming, C++ Programming, Data Science, English Proficiency (Spoken), English Proficiency (Written), MATLAB, Machine Learning, PostgreSQL, Python, SQL, CSS, HTML, WordPress",358
326,2,2,0,0,"Computer Vision, Machine Learning, Python, Data Science, Video Editing",359
327,3,3,2,0,"Data Science, English Proficiency (Spoken), Hindi Proficiency (Spoken), Machine Learning, Python, Statistical Modeling, Data Analytics, Data Structures, Image Processing, Natural Language Processing (NLP), R Programming",360
328,2,1,1,0,"MS-Excel, Python, Data Analytics, Data Structures, Machine Learning, MySQL, Natural Language Processing (NLP), Oracle, Tableau",361
329,2,0,0,0,"Artificial Intelligence, C Programming, C++ Programming, Data Science, HTML, Java, Linux, Python",362
330,2,0,0,0,"CSS, HTML, Data Structures, Database Management System (DBMS), Java, Python",363
331,1,0,0,0,"C Programming, CSS, Data Structures, HTML, Java, JavaScript, Data Science, Python",364
332,3,3,0,0,"Data Analytics, Data Science, MS-Excel, MS-PowerPoint, MS-Word, Machine Learning, Python, C++ Programming, CSS, HTML, Power BI, SQL",365
333,2,2,2,0,"MS-Excel, Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",366
334,1,1,0,0,"MS-Excel, MySQL, Machine Learning, Power BI, Python",367
335,2,0,0,0,"Data Structures, Python, Data Science, SQL",368
336,2,2,1,2,"Artificial intelligence, Computer Vision, Data Analytics, Data Science, Deep Learning, MS-Excel, Machine Learning, Python, SQL, Tableau, Natural Language Processing (NLP), Statistics",369
337,2,0,0,0,"ASP.NET, C#, CSS, HTML, MySQL, C Programming, C++ Programming, Java, Python, SQLite, Hadoop, JavaScript",370
338,3,2,2,2,"Image Processing, MS-Excel, Python, C Programming, C++ Programming, Data Analytics, Deep Learning, Machine Learning, Natural Language Processing (NLP), Neural Networks, OpenCV",371
339,2,1,0,0,"C Programming, C++ Programming, Java, Python, Machine Learning, SQL",373
340,1,0,0,0,"MS-Excel, MS-PowerPoint, MS-Word, R Programming, Python, SQL",374
341,2,1,0,0,"HTML, Java, MS-Excel, Python, Data Analytics, Django, Machine Learning, SQL",375
342,2,2,2,0,"MS-Excel, SQL, Business Analysis, Data Analytics, Data Science, Machine Learning, Natural Language Processing (NLP), Power BI, Python, Neural Networks, Tableau",376
343,3,2,3,2,"Natural Language Processing (NLP), Python, SQL, C++ Programming, Data Science, Deep Learning, Django, Machine Learning, Neural Networks",377
344,0,0,0,0,"Content Marketing, Content Writing, Creative Writing, Digital Marketing, English Proficiency (Spoken), English Proficiency (Written), Facebook Ads, Facebook Marketing, MS-Excel, MS-Office, Marketing Strategies , Search Engine Optimization (SEO), Social Media Marketing, Email Marketing, Google AdWords, Google Analytics, Search Engine Marketing (SEM)",378
345,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Tableau, Python, R Programming, Tally",379
346,3,2,0,2,"CSS, Data Analytics, Data Science, Data Structures, HTML, MS-Excel, Python, Deep Learning, Django, Machine Learning, Power BI, SQL",380
347,3,2,1,0,"Data Structures, Database Management System (DBMS), Python, SQL, Data Analytics, Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Tableau, Natural Language Processing (NLP)",381
348,3,2,0,0,"Python, Machine Learning",382
349,1,0,0,0,"C Programming, Computer Vision, Python",383
350,0,2,1,0,"Data Structures, Java, MS-Excel, MS-Word, Machine Learning, C Programming, Data Analytics, Data Science, MS-Office, Natural Language Processing (NLP), Software Testing",384
351,2,2,2,0,"Algorithms, C++ Programming, Data Analytics, Data Science, Data Structures, MS-Excel, Machine Learning, Natural Language Processing (NLP), Product Management, Python, SQL",385
352,3,0,0,0,"Python, C Programming, C++ Programming, HTML, JavaScript, Java",386
353,2,2,1,1,"MS-Excel, MS-Office, MySQL, Data Analytics, Data Science, Machine Learning, Neural Networks, Power BI, Python, SQL, Deep Learning, Natural Language Processing (NLP)",388
354,1,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), Marathi Proficiency(Spoken), Adobe Premiere Pro, HTML, MS-Excel, MS-PowerPoint, MS-Word, Report Writing, Statistical Modeling, Video Editing, CSS, MS-Office, MySQL, PHP, Python",389
355,3,2,1,2,"Python, Algorithms, Artificial Intelligence, C++ Programming, Deep Learning, Machine Learning, Marketing Campaigns , Operations, SQL, Image Processing, Natural Language Processing (NLP)",390
356,3,2,0,0,"C Programming, C++ Programming, Java, Python, Artificial Intelligence, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Machine Learning, SQL, JavaScript, Node.js, ReactJS, UI & UX Design",391
357,3,3,0,0,"Data Science, MS-Excel, MS-Office, MS-PowerPoint, Machine Learning, Python, SQL, Tableau",392
358,1,1,1,1,"Data Science, Photography, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), Python",394
359,3,0,0,0,"C++ Programming, HTML, Python, Bootstrap, CSS, English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, Project Management, ReactJS, Data Science, UI & UX Design",395
360,2,1,0,0,"Data Structures, HTML, C Programming, CSS, Copywriting, Data Science, Database Management System (DBMS), PHP, Python, SQL, WordPress, Adobe Photoshop, Artificial Intelligence, Machine Learning",396
361,2,2,2,2,"Data Analytics, Data Science, Data Structures, Deep Learning, Machine Learning, Natural Language Processing (NLP), OpenCV, Python, SQL, Linux",399
362,2,2,0,2,"MS-Excel, Mathematics, Adobe Photoshop, Algorithms, Angular 2.0, Angular 7.0, AngularJS, Artificial Intelligence, Blogging, Bootstrap, C Programming, CSS, Computer Vision, Content Writing, Creative Writing, Data Science, Data Structures, Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), Figma, GitHub, HTML, Internet of Things (IoT), Java, JavaScript, LaTeX, MS SQL Server, MS-PowerPoint, MS-Word, Machine Learning, MySQL, Neural Networks, Node.js, PHP, PostgreSQL, Python, ReactJS, Research and Analytics, SQL, Search Engine Optimization (SEO), Social Media Marketing, Software Testing, Tableau, Video Making, WordPress, C++ Programming, Data Analytics, MATLAB",401
363,2,2,0,2,"Artificial Intelligence, C++ Programming, Deep Learning, Machine Learning, Python",402
364,2,1,0,0,"C Programming, HTML, Java, MySQL, Python, Android, C++ Programming, CAD, CSS, Creative Writing, English Proficiency (Spoken), JavaScript, Kotlin, Machine Learning, Photography",403
365,2,2,0,0,"Data Analytics, Machine Learning, Python, MS-Excel",404
366,3,3,2,2,"Data Analytics, English Proficiency (Spoken), Machine Learning, Python, Tableau, Computer Vision, Deep Learning, MS-Excel, Natural Language Processing (NLP), Power BI, SQL",405
367,3,2,2,2,"ArcGIS, MS-Excel, Map Study, Power BI, Python, SQL, Tableau, Deep Learning, Machine Learning, Natural Language Processing (NLP), Git, HTML",406
368,3,3,2,0,"Machine Learning, Python, Tableau, MS-Excel, Natural Language Processing (NLP), SQL",407
369,2,0,0,0,"HTML, C Programming, C++ Programming, CSS, JavaScript, LabVIEW, MS-Office, PLC SCADA, Python, SQL, Bootstrap, Data Structures, Internet of Things (IoT), Node.js, jQuery",408
370,2,3,0,0,"Embedded Systems, Internet of Things (IoT), MS-Word, Machine Learning, Neural Networks, C Programming, HTML, Python",409
371,0,0,0,0,"HTML, C Programming, CSS, Java, Web Application Security, PHP, WordPress",410
372,0,0,0,0,"C Programming, CSS, HTML, Java, JavaScript",411
373,3,1,0,0,"HTML, Python, Algorithms, Android, C Programming, C++ Programming, CSS, Data Structures, Figma, Google Cloud Computing, Java, JavaScript, Kotlin, MS-Office, MySQL, ReactJS, UI & UX Design, WordPress, Machine Learning",413
374,2,2,0,2,"SQL, CSS, Deep Learning, HTML, JavaScript, Machine Learning, PHP, PostgreSQL, Python",414
375,2,2,0,0,"CSS, HTML, Java, Machine Learning, Python",415
376,2,1,0,0,"Python, Machine Learning",416
377,2,0,0,0,"MS-Excel, MySQL, Power BI, Python",417
378,2,3,0,2,"Data Analytics, Machine Learning, Data Science, Deep Learning, Python, R Programming, Tableau",418
379,0,0,0,0,"MS-Word, CSS, Data Analytics, Data Science, English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, MS-Office, MS-PowerPoint, Power BI, Statistical Modeling, Tableau, C++ Programming, MS-Excel, Research and Analytics",419
380,2,2,0,2,"Computer Vision, Deep Learning, Machine Learning, OpenCV, Python, Django, REST API, ReactJS",420
381,2,2,2,2,"Artificial Intelligence, AutoCAD, C Programming, CSS, Deep Learning, HTML, Java, JavaScript, Machine Learning, MySQL, Natural Language Processing (NLP), Python, R Programming, ReactJS",421
382,3,3,2,1,"Data Analytics, Data Science, MS-Excel, Machine Learning, Python, SQL, Statistics, Tableau, Amazon Web Services (AWS), CSS, Database Management System (DBMS), HTML, Heroku, Microsoft Azure, Natural Language Processing (NLP), Deep Learning",422
383,3,3,3,3,"Deep Learning, Machine Learning, Natural Language Processing (NLP), Python, MS-Excel, MS-Office, Mathematics, OpenCV, Power BI, R Programming, SQL, Statistical Modeling, BIG DATA ANALYTICS, Tableau",423
384,2,1,1,0,"MS-Office, Python, SQL, Machine Learning, Natural Language Processing (NLP), R Programming",424
385,2,2,0,0,"Machine Learning, Python",425
386,3,2,0,0,"Data Structures, Java, Python, HTML, Machine Learning, SQL",426
387,2,2,1,0,"MS-Excel, Machine Learning, MySQL, Python, Statistics, Tableau, Natural Language Processing (NLP)",427
388,2,1,0,0,"MS-Excel, Power BI, Python, Machine Learning",428
389,2,0,0,0,"C Programming, CSS, HTML, MySQL, Python, Java, MS-Office, Tableau, WordPress",429
390,2,2,0,2,"Effective Communication, Data Science, Deep Learning, HTML, MS-Excel, Machine Learning, Power BI, Python, R Programming",430
391,3,2,1,2,"CSS, HTML, JavaScript, Python, Computer Vision, Data Science, Deep Learning, Flask, Machine Learning, Natural Language Processing (NLP)",431
392,2,2,2,1,"Data Structures, Django, HTML, Java, Machine Learning, Natural Language Processing (NLP), Neural Networks, PostgreSQL, Python, Tableau, Data Analytics, Data Science, Database Management System (DBMS), Deep Learning",432
393,3,3,2,1,"Machine Learning, Python, Data Science, Data Structures, Java, MySQL, Natural Language Processing (NLP), Tableau, Deep Learning",433
394,1,1,1,0,"Machine Learning, Natural Language Processing (NLP), Power BI, Python, SQL",434
395,2,0,0,0,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Mathematics, Python, R Programming",435
396,3,0,0,0,"Autodesk Inventor, C Programming, Inkscape, LaTeX, MATLAB, Python, AutoCAD, SQL, SolidWorks, Power BI",436
397,2,2,0,0,"CSS, Data Structures, Django, Flask, HTML, Machine Learning, Product Lifecycle Management(PLM), Project Management, Python, REST API, ReactJS, SQL, C++ Programming, JavaScript, MongoDB",437
398,2,2,0,0,"C Programming, CSS, HTML, ReactJS, Artificial Intelligence, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), Java, JavaScript, Machine Learning, PHP, Python, AJAX, C++ Programming",439
399,1,1,0,1,"MS-Office, Data Analytics, Data Science, Deep Learning, Machine Learning, Python, Tableau",441
400,1,2,0,1,"C++ Programming, Data Analytics, Data Science, Data Structures, English Proficiency (Spoken), MS-Excel, Machine Learning, MySQL, Power BI, SQL, Computer Vision, Deep Learning, Python, ReactJS, Tableau, web3.js",442
401,2,0,0,0,"MS-Excel, MySQL, Power BI, Python, Tableau",443
402,2,0,0,0,"C Programming, Content Writing, Creative Writing, English Proficiency (Written), Python",444
403,1,0,0,0,"Photography, C++ Programming, HTML, Java, Python, SQL",445
404,3,3,2,2,".NET, Adobe XD, Amazon Web Server (AWS), Artificial Intelligence, Blogging, C Programming, C#, C#.NET, C++ Programming, Creative Writing, Data Structures, Design Thinking, English Proficiency (Spoken), English Proficiency (Written), Figma, Firebase, Flutter, GitHub, HTML, Kotlin, Linux, MS-Excel, Machine Learning, Mathematics, Node.js, Online Teaching, Power BI, Python, R Programming, REST API, React Native, ReactJS, Research and Analytics, SCSS, SQL, Search Engine Optimization (SEO), Shell Scripting, Subject Matter Expert (SME), Teaching, TypeScript, UI & UX Design, Vue Js, iOS, CSS, Cloud Computing, Computer Vision, Data Analytics, Data Science, Deep Learning, Digital Marketing, Google AdWords, Java, JavaScript, Natural Language Processing (NLP), Neural Networks, OpenCV, Social Media Marketing, Unity 3D, Unity Engine, Unreal Engine, Android, Web Application Security",446
405,2,0,0,0,"Bootstrap, HTML, JavaScript, MS-Excel, Python, Data Analytics",447
406,3,0,0,0,"C Programming, C++ Programming, MS-Excel, Python",448
407,2,3,2,3,"Data Analytics, Data Science, Deep Learning, Machine Learning, Neural Networks, Artificial intelligence, C Programming, C++ Programming, Computer Vision, Data Structures, Database Management System (DBMS), Java, MS-Excel, Natural Language Processing (NLP), Python, SQL, Node.js",449
408,2,1,0,0,"HTML, Java, Python, SQL, Machine Learning",451
409,2,2,0,1,"MS-Excel, MS-PowerPoint, Machine Learning, Python, SQL, Tableau, Deep Learning",453
410,1,1,1,0,"C Programming, CSS, Data Science, Django, Git, HTML, Machine Learning, Natural Language Processing (NLP), PostgreSQL, Python",454
411,3,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), Python, C++ Programming, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Machine Learning, Natural Language Processing (NLP), ReactJS, Java",455
412,2,2,1,2,"Data Science, Data Structures, Deep Learning, FastAPI, Machine Learning, Python, Amazon Web Server (AWS), Natural Language Processing (NLP)",456
413,2,0,0,0,"Data Analytics, MS-Excel, Blockchain, Python, Tableau",458
414,1,0,0,0,"MS-Excel, Data Analytics, MS-Office, Python",459
415,1,2,1,1,"Machine Learning, Deep Learning, Natural Language Processing (NLP), Python, SQL",460
416,2,2,2,3,"Deep Learning, Data Analytics, Data Science, MS-Excel, Machine Learning, MySQL, Natural Language Processing (NLP), Power BI, Python, SQL, Statistics, Tableau",462
417,1,0,0,0,Python,463
418,2,0,0,0,"C++ Programming, CSS, Data Structures, HTML, JavaScript, Python, Data Analytics",464
419,3,3,3,3,"C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), Deep Learning, Docker, Java, Machine Learning, Natural Language Processing (NLP), NoSQL, Python, R Programming, SQL, CI/CD, Computer Vision, Flask, Git, JavaScript, Linux, MS-Excel, MongoDB, OpenCV",466
420,1,2,0,2,"Deep Learning, Machine Learning, C Programming, Data Science, MySQL, Python",467
421,3,2,0,0,"Data Analytics, Data Science, Economics, Flask, HTML, MS-Excel, Mathematics, Power BI, Python, SQL, CSS, Django, Financial Modeling, JavaScript, MS-PowerPoint, Machine Learning, ReactJS, Tailwind CSS, TypeScript",468
422,2,2,1,1,"English Proficiency (Spoken), English Proficiency (Written), Painting, Sketching, Adobe Photoshop, Algorithms, C Programming, C++ Programming, Creative Writing, Data Analytics, Data Science, Data Structures, Database Management System (DBMS), MS-PowerPoint, Machine Learning, MySQL, Python, WordPress, AutoCAD, Deep Learning, Korean Proficiency (Spoken), Korean Proficiency (Written), Natural Language Processing (NLP)",469
423,2,1,0,0,"C++ Programming, Python, Data Analytics, Machine Learning",470
424,1,0,0,0,"Power BI, Python, SQL",471
425,2,2,0,1,"CSS, English Proficiency (Spoken), English Proficiency (Written), HTML, MS-Excel, Data Analytics, Data Science, Data Structures, Java, JavaScript, Machine Learning, PHP, Power BI, Python, SQL, Tableau, Deep Learning",472
426,2,2,0,2,"Deep Learning, MS-Excel, Machine Learning, MySQL, Power BI, Python, Statistics",473
427,2,2,0,0,"C Programming, Creative Writing, Data Science, Data Structures, Database Management System (DBMS), English Proficiency (Spoken), English Proficiency (Written), HTML, Machine Learning, Neural Networks, NoSQL, Node.js, Python, ReactJS, SQL, Unix",474
428,2,1,0,0,"C++ Programming, MySQL, Python, SQL, C Programming, HTML, Java, MATLAB, Machine Learning, Oracle, STATA",475
429,2,2,1,1,"MS-Excel, MS-Office, C Programming, Machine Learning, Python, Deep Learning, Natural Language Processing (NLP), Neural Networks",476
430,3,2,0,2,"Python, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Deep Learning, English Proficiency (Spoken), English Proficiency (Written), Machine Learning, Neural Networks, SQL",477
431,2,2,1,1,"GitHub, MS-Excel, MySQL, Tableau, AutoCAD, C Programming, C++ Programming, Data Analytics, Data Science, Data Structures, Machine Learning, Python, SQL, Deep Learning, Natural Language Processing (NLP), Power BI",479
432,2,2,2,2,"English Proficiency (Spoken), English Proficiency (Written), Bootstrap, C++ Programming, CSS, Data Science, Deep Learning, HTML, LaTeX, MATLAB, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, Data Analytics",480
433,2,2,0,2,"Computer Vision, Data Analytics, Deep Learning, Machine Learning, OpenCV, Python, SQL",481
434,2,2,1,1,"Data Structures, Machine Learning, Python, Stock Trading, C++ Programming, Data Science, Deep Learning, Natural Language Processing (NLP), Neural Networks",482
435,3,2,3,2,"Data Analytics, Data Science, Natural Language Processing (NLP), Python, Artificial intelligence, Data Structures, Database Management System (DBMS), Deep Learning, Django, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Machine Learning, Power BI, Research and Analytics, SQL, Tableau, Amazon Web Services (AWS), JavaScript, OpenCV",483
436,0,0,0,0,"English Proficiency (Written), GUI Testing, MS-Office, Manual Testing, Selenium, Software Testing, Time Management, CSS, Database Testing, English Proficiency (Spoken), Git, GitHub, HTML, Java, JavaScript, Jira, MySQL, Postman, Quality Assurance/Quality Control (QA/QC)",484
437,0,0,0,0,C Programming,485
438,3,2,0,0,"Python, Java, Machine Learning, Computer Vision, Data Science, JavaScript",486
439,2,3,0,0,"English Proficiency (Written), Hindi Proficiency (Spoken), Hindi Proficiency (Written), MS-Excel, MS-Office, Machine Learning, Power BI, SQL, Tableau, Data Analytics, Data Science, English Proficiency (Spoken), MS-Word, Python, Research and Analytics, Statistics, Cloud Computing, R Programming",487
440,1,1,0,0,"MS-Excel, Data Analytics, Data Science, Machine Learning, Python",488
441,2,0,0,0,"MATLAB, MS-Excel, MySQL, Power BI, Python",489
442,1,2,0,0,"Artificial Intelligence, HTML, Machine Learning, Python",490
443,2,2,2,0,"Artificial Intelligence, BIG DATA ANALYTICS, Bengali Proficiency (Spoken), Business Analysis, Data Analytics, Data Science, English Proficiency (Written), Machine Learning, MySQL, Natural Language Processing (NLP), Python, Statistical Modeling, Computer Vision",491
444,2,0,0,0,"Python, Django",492
445,2,3,0,1,"Machine Learning, Data Science, Power BI, Python, Deep Learning, MS-Excel",493
446,2,2,2,2,"Artificial Intelligence, Data Analytics, Deep Learning, MS-Excel, Machine Learning, Natural Language Processing (NLP), Python, SQL, Power BI",494
447,2,2,1,2,"MS-Excel, Data Analytics, Database Management System (DBMS), Deep Learning, Machine Learning, Power BI, Python, SQL, Amazon Web Services (AWS), Data Science, MongoDB, Natural Language Processing (NLP), Tableau, WordPress",495
448,2,2,2,1,"Data Analytics, Data Science, MS-Excel, MS-Office, Machine Learning, Natural Language Processing (NLP), Python, SQL, Artificial Intelligence, Deep Learning, Neural Networks",496
449,2,2,0,0,"Data Analytics, Data Structures, Machine Learning, Python",497
450,2,2,0,0,"CSS, HTML, C++ Programming, Data Analytics, JavaScript, Machine Learning, Python",498
451,2,2,0,2,"English Proficiency (Spoken), English Proficiency (Written), Artificial Intelligence, C++ Programming, Computer Vision, Deep Learning, Machine Learning, Python",500
